Watching for file changes with StatReloader
search leases!
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26436
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26435
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26448
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26449
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26462
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26504
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26504
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26463
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26445
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /favicon.ico HTTP/1.1" 404 3680
Watching for file changes with StatReloader
"GET /user/ HTTP/1.1" 200 26445
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/TableBase.js HTTP/1.1" 200 22838
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
Watching for file changes with StatReloader
"GET / HTTP/1.1" 302 0
"GET /user/login/?next=/ HTTP/1.1" 200 3840
"GET /user/login/signin.css HTTP/1.1" 404 4898
"GET /favicon.ico HTTP/1.1" 404 3680
